title,release_year,imdb_link,plot_des,runtime,budget,opening_weekend_gross,box_office_gross,studio,mpaa_rating,award,critic_score,audience_score,theater_release_date,dvd_release_date,streaming_release_date,genre,casts,directors,rotten_link,count_award
222,2017,https://www.imdb.com/title/tt1131724/,"A man's life is derailed when an ominous pattern of events repeats itself in exactly the same manner every day, ending at precisely 2:22 p.m.",98,,"$294,","$3,945,729",2929 Productions,PG-13,0,22,38,"Jun 30, 2017",,"Jun 30, 2017",['mysteryandthriller'],"['Teresa Palmer', 'Richard Davies', 'Simone Kessell', 'Kerry Armstrong', 'Michiel Huisman', 'Paul Currie', 'Todd Stein', 'Sam Reid', 'Maeve Dermody', 'Remy Hii']",['Paul Currie'],https://www.rottentomatoes.com/m/222_2017,0
68 KILL,2017,https://www.imdb.com/title/tt5189894/,"A punk-rock after hours about femininity, masculinity and the theft of $68,000.",93,,,,,R,0,70,55,,,"Aug 4, 2017","['comedy', 'crime', 'drama', 'romance', 'mysteryandthriller']","['Travis Stevens', 'Matthew Gray Gubler', 'Ajay Mehta', 'Lucy Faust', 'Michael Beasley', 'Haim Frank Ilfman', 'Bob Portal', 'David Maldonado', 'Sheila Vand', 'Alisha Boe', 'James Moses Black', 'Inderpal Singh', 'Trent Haaga', 'Stephanie Trepanier', 'David Lawson Jr.', 'AnnaLynne McCord', 'Needham B. Smith', 'Sam Eidson', 'James Griffiths']",['Trent Haaga'],https://www.rottentomatoes.com/m/68_kill,0
A SCORE TO SETTLE,2019,https://www.imdb.com/title/tt3758162/,An ex-enforcer for a local crime syndicate has vowed to enact retribution on his mob bosses after 19 years of wrongful imprisonment. The only thing diverting his violent plans is a new found relationship to his beloved son.,103,,,"$171,216",Highland Film Group (HFG),Not Rated,1,15,20,"Aug 2, 2019",,"Aug 2, 2019","['action', 'mysteryandthriller']","['Karolina Wydra', 'John Stuart Newman', 'Eric Gozlan', 'Alan Pao', 'Luke Daniels', 'Noah Le Gros', 'Ian Tracey', 'Mohamed Karim', 'Carmel Amit', 'Kevin DeWalt', 'Shawn Ku', 'Danielle Masters', 'Richard Iott', 'Benjamin Bratt', 'Daniel Negret', 'Nicolas Cage', 'Nicole Muñoz', 'Arianne Fraser']",['Shawn Ku'],https://www.rottentomatoes.com/m/a_score_to_settle,1
ALITA BATTLE ANGEL,2019,https://www.imdb.com/title/tt0437086/,"A deactivated cyborg's revived, but can't remember anything of her past and goes on a quest to find out who she is.",122,,,,,PG-13,0,61,92,"Feb 14, 2019",,"Jul 9, 2019","['fantasy', 'animation', 'scifi', 'adventure', 'action']","['Christoph Waltz', 'Eiza González', 'Lana Condor', 'Mahershala Ali', 'Rosa Salazar', 'Idara Victor', 'David Valdes', 'Stephen Rivkin', 'Jennifer Connelly', 'James Cameron', 'Bill Pope', 'Ed Skrein', 'Jon Landau', 'Jackie Earle Haley', 'Keean Johnson', 'Tom Holkenborg', 'Robert Rodriguez', 'Ian Silverstein', 'Laeta Kalogridis']",['Robert Rodriguez'],https://www.rottentomatoes.com/m/alita_battle_angel,1
ANIMAL KINGDOM,2010,https://www.imdb.com/title/tt1313092/,A seventeen-year-old navigates his survival amongst an explosive criminal family and the detective who thinks he can save him.,113,,,,,R,0,94,83,"Aug 13, 2010",,"Sep 4, 2012","['crime', 'drama']","['Liz Watts', 'Adam Arkapaw', 'Dan Wyllie', 'Sullivan Stapleton', 'Anthony Hayes', 'Jo Ford', 'Antony Partos', 'Joel Edgerton', 'Vincent Sheehan', 'Guy Pearce', 'Luke Doolan', 'Jacki Weaver', 'David Michôd', 'Janie Parker', 'Luke Ford', 'Ben Mendelsohn', 'Laura Wheelwright', 'James Frecheville', 'Bec Smith']",['David Michôd'],https://www.rottentomatoes.com/m/animal_kingdom,0
BEAUTIFUL DARLING,2010,https://www.imdb.com/title/tt0960730/,"A documentary on Candy Darling, The Life and Times of the Andy Warhol Superstar.",85,,"$12,406,","$34,096",Flowerside Creations,Not Rated,0,79,75,,,"Oct 22, 2019",['documentary'],"['Jackie Curtis', 'Jane Fonda', 'Zachary Stuart-Pontier', 'Lynne Kirby', 'Michael J. Newman', 'Vincent Fremont', 'Gerald Busby', 'Ron Delsener', 'George Abagnalo', 'Penny Arcade', 'Ann Rose', 'D.J. Martin', 'Candy Darling', 'James Rasin', 'Peter Beard', 'Aaron Richard Golub', 'Martina Radwan', 'Paul Ambrose']",['James Rasin'],https://www.rottentomatoes.com/m/beautiful-darling,0
CHEERFUL WEATHER FOR THE WEDDING,2012,https://www.imdb.com/title/tt1159922/,"A young woman frets upstairs in her family's country manor on her wedding day, fearful she's about to marry the wrong man. Downstairs, her fiancé and her former lover grow increasingly anxious.",89,,"$727,","$170,922",Cheerful Weather,PG,0,37,27,"Dec 7, 2012",,"Mar 9, 2016","['comedy', 'drama']","['Zoe Tapper', 'Mackenzie Crook', 'Luke Treadaway', 'Donald Rice', 'Elizabeth McGovern', 'Mary Henely Magill', 'James Norton', 'Fenella Woolgar', 'Olly Alexander', 'Julian Wadham', 'Felicity Jones', 'Teun Hilte', 'Sophie Stanton']",['Donald Rice'],https://www.rottentomatoes.com/m/cheerful_weather_for_the_wedding,0
INCHALLAH,2012,https://www.imdb.com/title/tt2336960/,A Canadian doctor finds her sympathies sorely tested while working in the conflict ravaged Palestinian territories.,102,,"$3,391,","$317,656",micro_scope,R,0,53,62,"Aug 16, 2013",,"Feb 6, 2017",['drama'],"['Evelyne Brochu', 'Kim McCraw', 'Philippe Lavalette', 'Carlo Brandt', 'Sivan Levy', 'Luc Déry', 'Sophie Leblond', 'Hammoudeh Alkarmi', 'Ahmad Massad', 'Levon Minassian', 'Sabrina Ouazani', 'Zorah Benali', 'Anaïs Barbeau-Lavalette', 'Yousef Sweid']",['Anaïs Barbeau-Lavalette'],https://www.rottentomatoes.com/m/inchallah_2012,0
IT,2016,https://www.imdb.com/title/tt2679552/,A millionaire has his life turned upside down after firing his I.T. consultant.,95,"EUR11,250,379",,"$2,128,301",Voltage Pictures,Not Rated,0,9,25,"Sep 23, 2016",,"Mar 16, 2017",['mysteryandthriller'],"['Clare-Hope Ashitey', 'David T. Friendly', 'Austin Swift', 'Karen Moskow', 'Valentina Gardani', 'John Moore', 'Dan Kay', 'Adam Fergus', 'Stefanie Scott', 'Michael Nyqvist', 'Pierce Brosnan', 'Craig J. Flores', 'Nicolas Chartier', 'Elika Portnoy', 'William Wisher', 'Anna Friel', 'James Frecheville', 'Beau St. Clair', 'Jason Barry']",['John Moore'],https://www.rottentomatoes.com/m/it_2016,0
JAKE SQUARED,2013,https://www.imdb.com/title/tt2314374/,A filmmaker sets out to make a new project in order to figure out how he's screwed up every relationship he's ever had.,100,,,,,R,0,22,35,"Aug 15, 2014",,"Aug 10, 2016","['comedy', 'drama']","['Shelley Surpin', 'Michael Swingler', 'David K. Wilson', 'Tanner Buchanan', 'Jennifer Jason Leigh', 'Howard Goldberg', 'Ron Gilbert', 'Adam Bricker', 'Virginia Madsen', 'Howard Himelstein', 'Oren Koules', 'Mike Vogel', 'Elias Koteas', 'Gia Mantegna', 'Jane Seymour']",['Howard Goldberg'],https://www.rottentomatoes.com/m/jake_squared,0
JEWTOPIA,2012,https://www.imdb.com/title/tt0878814/,A romantic comedy centered on a gentile who pretends to be Jewish in order to win the affection of his love interest.,90,,,,,Not Rated,0,18,27,"Sep 20, 2013",,"Nov 17, 2016",['romance'],"['Bree Turner', 'Pavlina Hatoupis', 'Dan Keston', 'Courtney Mizel', 'Joel David Moore', 'Christine Lakin', 'Rita Wilson', 'Wendie Malick', 'Jamie-Lynn Sigler', 'Bryan Fogel', 'Tucker Tooley', 'Jennifer Love Hewitt', 'Ivan Sergei', 'Sam Wolfson', 'Peter Stormare', 'Jon Lovitz']",['Bryan Fogel'],https://www.rottentomatoes.com/m/jewtopia,0
MCCANICK,2013,https://www.imdb.com/title/tt2295564/,"Set over the course of one day, a narcotics detective hunts for a seemingly harmless young criminal who knows a truth about the cop's past.",96,,"$1,929,","$2,572",Bleiberg Entertainment,R,0,13,15,,,"Feb 17, 2014","['crime', 'drama', 'mysteryandthriller']","['Trevor Morgan', 'Brett W. Bachman', 'Cory Monteith', 'Ciarán Hinds', 'Exe', 'David Morse', 'Tracie Thoms', 'Martin Ahlgren', 'Ehud Bleiberg', 'Mike Vogel', 'Daniel Noah', 'Josh C. Waller', 'Rachel Nichols', 'Aaron Yoo', 'Donald Kugelman']",['Josh C. Waller'],https://www.rottentomatoes.com/m/mccanick,0
MIRAI,2018,https://www.imdb.com/title/tt6900448/,"A young boy encounters a magical garden which enables him to travel through time and meet his relatives from different eras, with guidance by his younger sister from the future.",98,,"$63,325,","$28,756,961",Chukyo TV Broadcasting Company (CTV),PG,0,90,80,"Nov 29, 2018",,"Apr 9, 2019","['kidsandfamily', 'anime', 'fantasy', 'adventure']","['Yoshiko Miyazaki', 'Takagi Masakatsu', 'Koji Yakusho', 'Mamoru Hosoda', 'Haru Kuroki', 'Moka Kamishiraishi', 'Mitsuo Yoshihara', 'Kumiko Aso', 'Ryo Horibe', 'Gen Hoshino', 'Yuichiro Saito', 'Shigeru Nishiyama', 'Masaharu Fukuyama']",['Mamoru Hosoda'],https://www.rottentomatoes.com/m/mirai,0
POLISSE,2011,https://www.imdb.com/title/tt1661420/,A journalist covering police assigned to a juvenile division enters an affair with one of her subjects.,127,,"$16,568,","$20,601,245",Trésor Films,Not Rated,0,87,78,"May 18, 2012",,"Mar 13, 2017","['crime', 'drama']","['Nicolas Duvauchelle', 'Joeystarr', 'Maïwenn', 'Karole Rocher', 'Emmanuelle Bercot', 'Karin Viard', 'Alain Attal', 'Frédéric Pierrot', 'Marina Foïs']",['Maïwenn'],https://www.rottentomatoes.com/m/polisse_2011,0
SECOND SIGHT,1989,https://www.imdb.com/title/tt0098276/,Four-time Emmy Award-winner John Larroquette and Bronson Pinchot star as a private investigator and a super-psychic who operate a paranormal detective agency in this wild comedy.,83,,"$2,156,742,","$5,368,865",Lorimar Film Entertainment,PG,0,0,29,,,"Jan 12, 2017",['comedy'],"['John Larroquette', 'Christine Estabrook', 'Marisol Massey', 'Bronson Pinchot', 'Stuart Pankin', 'Michael Lombard', 'John Schuck', 'Joel Zwick', 'Bess Armstrong', 'James Tolkan', 'Mark Tarlov', 'William Prince']",['Joel Zwick'],https://www.rottentomatoes.com/m/1018473-second_sight,0
SKATE KITCHEN,2018,https://www.imdb.com/title/tt7545566/,A teenaged skateboarder makes friends with a bunch of other skateboarding girls in New York City.,106,,"$18,065,","$287,307",Bow and Arrow Entertainment,R,0,89,77,"Aug 10, 2018",,"Nov 18, 2018",['drama'],"['Crystal Moselle', 'Nina Moran', 'Dede Lovelace', 'Jennifer Silverman', 'Jaden Smith', 'Lizzie Nastro', 'Julia Nottingham', 'Elizabeth Rodriguez', 'Ajani Russell', 'Izabella Tzenkova', 'Aslihan Unaldi', 'Kabrina Adams', 'Rachelle Vinberg']",['Crystal Moselle'],https://www.rottentomatoes.com/m/skate_kitchen,0
SPOTLIGHT,2015,https://www.imdb.com/title/tt1895587/,"The true story of how the Boston Globe uncovered the massive scandal of child molestation and cover-up within the local Catholic Archdiocese, shaking the entire Catholic Church to its core.",129,"$20,000,000","$295,009,","$98,690,254",Participant,R,0,97,93,"Nov 20, 2015",,"Feb 2, 2016",['drama'],"['Mark Ruffalo', 'John Slattery', 'Rachel McAdams', 'Jeff Skoll', 'Paul Guilfoyle', 'Jamey Sheridan', 'Tom McCarthy', 'Blye Pagon Faust', 'Nicole Rocklin', ""Brian d'Arcy James"", 'Josh Singer', 'Stanley Tucci', 'Billy Crudup', 'Michael Sugar', 'Steve Golin', 'Liev Schreiber', 'Jonathan King', 'Michael Keaton', 'Pierre Omidyar']",['Tom McCarthy'],https://www.rottentomatoes.com/m/spotlight_2015,0
THE BABADOOK,2014,https://www.imdb.com/title/tt2321549/,"A single mother and her child fall into a deep well of paranoia when an eerie children's book titled ""Mister Babadook"" manifests in their home.",94,,,,,Not Rated,0,98,72,"Nov 28, 2014",,"Nov 5, 2015","['mysteryandthriller', 'horror']","['Barbara West', 'Noah Wiseman', 'Cathy Adamek', 'Essie Davis', 'Jonathan Page', 'Michael Tear', 'Radoslaw Ladczuk', 'Kristian Moliere', 'Daniel Henshall', 'Jeff Harrison', 'Kristina Ceyton', 'Hayley McElhinney', 'Jed Kurzel', 'Jennifer Kent', 'Craig Behenna', 'Benjamin Winspear', 'Jan Chapman']",['Jennifer Kent'],https://www.rottentomatoes.com/m/the_babadook,0
THE CRASH,2017,https://www.imdb.com/title/tt3297382/,"In the not-so-distant future, a team of white-collar criminals are enlisted by the Federal government to thwart a cyber-attack that threatens to bankrupt the United States of America.",84,,"$1,767,823,","$3,180,500",Windward Entertainment,R,0,17,70,"Jan 13, 2017",,"Mar 3, 2017","['crime', 'drama', 'mysteryandthriller']","['AnnaSophia Robb', 'Regina von Flemming', 'Frank Grillo', 'Maggie Q', 'Matt Turve', 'Gabriel Cowan', 'Hilary Shor', 'Minnie Driver', 'Christopher McDonald', 'Shane Mandes', 'John Suits', 'Aram Rappaport', 'Dianna Agron', 'Mary McCormack', 'John Alberto Leguizamo', 'Ed Westwick', 'Baird Kellogg']",['Aram Rappaport'],https://www.rottentomatoes.com/m/the_crash_2017,0
THE DARK VALLEY,2014,https://www.imdb.com/title/tt2650978/,"Through a hidden path a lone rider reaches a little town high up in the Alps. Nobody knows where the stranger comes from, nor what he wants there. But everyone knows that they don't want him to stay.",115,"EUR6,350,000",,"$2,390,284",Allegro Film,Not Rated,0,33,66,,,"Aug 10, 2016",['drama'],"['Uwe Schott', 'Thomas W. Kiennast', 'Tobias Moretti', 'Florian Brückner', 'Matthias Weber', 'Clemens Schick', 'Johannes Nikolussi', 'Stefan Arndt', 'Helmut Grasser', 'Nessie Nesslauer', 'Sam Riley', 'Martin Leutgeb', 'Thomas Schubert', 'Martin Ambrosch', 'Helmuth Häusler', 'Daniel Prochaska', 'Andreas Prochaska']",['Andreas Prochaska'],https://www.rottentomatoes.com/m/das_finstere_tal,0
THE TROUBLE WITH BLISS,2011,https://www.imdb.com/title/tt1483756/,A guy in his mid-thirties watches as his life comically unravels after he enters into a relationship with the daughter of a former high school classmate.,97,,"$4,618,","$13,093",7A Productions,PG-13,0,33,28,"Mar 23, 2012",,"Feb 18, 2016","['drama', 'romance']","['Douglas Light', 'Nita Goodgal', 'Victoria Rogoff', 'Chuck Goodgal', 'Brad William Henke', 'Lucy Liu', 'John Will', 'Jon Finkel', 'Peter Fonda', 'Brie Larson', 'Sarah Shahi', 'Bruce Rogoff', 'Christian Campbell', 'Liz Holtan', 'John Ramos', 'Alex Balandin', 'Michael Knowles', 'Michael C. Hall', 'Chris Messina']",['Michael Knowles'],https://www.rottentomatoes.com/m/the_trouble_with_bliss,0
WARCRAFT,2016,https://www.imdb.com/title/tt0803096/,"As an Orc horde invades the planet Azeroth using a magic portal, a few human heroes and dissenting Orcs must attempt to stop the true evil behind this war.",123,"$160,000,000","$24,166,110,","$439,048,914",Legendary Entertainment,PG-13,0,28,76,"Jun 10, 2016",,"Feb 23, 2017","['action', 'fantasy', 'adventure']","['Clancy Brown', 'Ruth Negga', 'Travis Fimmel', 'Toby Kebbell', 'Rob Kazinsky', 'Dominic Cooper', ""Brent O'Connor"", 'Ben Foster', 'Jillian Share', 'Thomas Tull', 'Duncan Jones', 'Paula Patton', 'Charles Leavitt', 'Daniel Wu', 'Charles Roven', 'Jon Jashni', 'Ben Schnetzer', 'Alex Gartner', 'Stuart Fenegan']",['Duncan Jones'],https://www.rottentomatoes.com/m/warcraft,0
AUTHORS ANONYMOUS,2014,https://www.imdb.com/title/tt2114461/,"When a dysfunctional group of unpublished writers accept Hannah into their fold, the last thing they expect is her overnight success. Can these lovable misfits achieve their artistic dreams and avoid killing one another in the process?",92,,,,Bull Market Entertainment,PG-13,0,7,15,"Apr 18, 2014",,"Aug 10, 2016",['comedy'],"['Jeff Cardoni', 'Dylan Walsh', 'Ellie Kanner', 'David Congalton', 'Cynthia Guidry', 'Tricia Helfer', 'Teri Polo', 'Lainie Guidry', 'Dennis Farina', 'Hal Schwartz', 'Cassidy Lunnen', 'Kaley Cuoco', 'Jonathan Banks', 'Jonathan Bennett', 'Chris Klein']",['Ellie Kanner'],https://www.rottentomatoes.com/m/authors_anonymous,0
BLUE RUIN,2013,https://www.imdb.com/title/tt2359024/,"A mysterious outsider's quiet life is turned upside down when he returns to his childhood home to carry out an act of vengeance. Proving himself an amateur assassin, he winds up in a brutal fight to protect his estranged family.",90,,,,,R,0,96,79,"Apr 25, 2014",,"Aug 10, 2016","['crime', 'drama', 'mysteryandthriller']","['Eve Plumb', 'Sidne Anderson', 'Stacy Rock', 'Skei Saulnier', 'Anish Savjani', 'Jeremy Saulnier', 'Rosemary Edwards', 'Karen Saulnier', 'Brent Werzner', 'Vincent Savino', 'Richard Peete', 'Kevin Kolack', 'Eileen McGrath', 'Devin Ratray', 'Macon Blair', 'Amy Hargreaves', 'David W. Thompson']",['Jeremy Saulnier'],https://www.rottentomatoes.com/m/blue_ruin,0
BROKEN,2012,https://www.imdb.com/title/tt1441940/,Three suburban English families' lives intertwine with tragic consequences.,91,,,,BBC Films,Not Rated,0,63,73,,,"Feb 28, 2017",['drama'],"['Faye Daveney', 'Tim Roth', 'Rufus Norris', 'Robert Emms', ""Mark O'Rowe"", 'Bill Milner', 'Zana Marjanovic', 'Cillian Murphy', 'Rory Kinnear', 'Eloise Laurence']",['Rufus Norris'],https://www.rottentomatoes.com/m/broken_2012,0
CATFISH,2010,https://www.imdb.com/title/tt1584016/,Young filmmakers document their colleague's budding online friendship with a young woman and her family which leads to an unexpected series of discoveries.,87,"$30,000","$257,285,","$3,533,711",Supermarché,PG-13,0,80,71,"Oct 29, 2010",,"Feb 12, 2014","['mysteryandthriller', 'documentary', 'drama']","['Drew Jacoby', 'Tiler Peck', 'Andrew Jarecki', 'Melody C. Roscher', 'Yaniv ""Nev"" Schulman', 'Henry Joost', ""Ariel 'Rel' Schulman"", 'Blake Alexandros', 'Ryan Kavanaugh', 'Marc Smerling', 'Ariel Schulman', 'Wendy Whelan', 'Brett Ratner']","['Henry Joost', 'Ariel Schulman']",https://www.rottentomatoes.com/m/catfish,0
CBGB,2013,https://www.imdb.com/title/tt1786751/,"A look at the New York City punk-rock scene and the venerable nightclub, CBGB.",102,"$5,000,000","$3,909,","$40,400",Unclaimed Freight Productions,R,0,7,42,"Oct 11, 2013",,"Jan 25, 2017",['drama'],"['Malin Akerman', 'Ashley Greene', 'Brad Rosenberger', 'Randall Miller', 'Johnny Galecki', 'Jody Savin', 'Kyle Gallner', 'Lisa Kristal Burgman', 'Alan Rickman', 'Justin Bartha', 'Stana Katic', 'Rupert Grint']",['Randall Miller'],https://www.rottentomatoes.com/m/cbgb,0
CLOUDY WITH A CHANCE OF MEATBALLS 2,2013,https://www.imdb.com/title/tt1985966/,"Flint Lockwood now works at The Live Corp Company for his idol Chester V. But he's forced to leave his post when he learns that his most infamous machine is still operational, and is churning out menacing food-animal hybrids.",95,"$78,000,000","$34,017,930,","$274,325,949",Columbia Pictures,PG,0,71,66,"Sep 27, 2013",,"Jan 1, 2015","['kidsandfamily', 'comedy', 'animation']","['Mark Mothersbaugh', 'Kris Pearn', 'Kristen Schaal', 'Benjamin Bratt', 'Kirk Bodyfelt', 'John Francis Daley', 'Bill Hader', 'Andy Samberg', 'Neil Patrick Harris', 'Anna Faris', 'Christopher Miller', 'James Caan', 'Erica Rivinoja', 'Terry Crews', 'Phil Lord', 'Will Forte', 'Jonathan Goldstein', 'Cody Cameron', 'Pam Marsden']","['Kris Pearn', 'Cody Cameron']",https://www.rottentomatoes.com/m/cloudy_with_a_chance_of_meatballs_2_2013,0
DEVILS DUE,2014,https://www.imdb.com/title/tt2752758/,"After a mysterious, lost night on their honeymoon, a newlywed couple finds themselves dealing with an earlier-than-planned pregnancy.",89,"$7,000,000","$8,308,220,","$36,921,560",Twentieth Century Fox,R,0,18,21,"Jan 17, 2014",,"Nov 1, 2015",['horror'],"['Colin Walker', 'Lindsay Devlin', 'Tyler Gillett', 'Vanessa Ray', 'Allison Miller', 'Bill Martin Williams', 'Zach Gilford', 'Matt Bettinelli-Olpin', 'Justin Martinez', 'Sam Anderson', 'Julia Denton', 'Chad Villella', 'Madison Wolfe', 'Brittany Morrissey', 'Roger Payano', 'Geraldine Singer', 'Rod Dean', 'John Davis', 'James Dodson']","['Tyler Gillett', 'Matt Bettinelli-Olpin']",https://www.rottentomatoes.com/m/devils_due,0
DIVERGENT,2014,https://www.imdb.com/title/tt1840309/,"In a world divided by factions based on virtues, Tris learns she's Divergent and won't fit in. When she discovers a plot to destroy Divergents, Tris and the mysterious Four must find out what makes Divergents dangerous before it's too late.",139,"$85,000,000","$54,607,747,","$288,885,818",Summit Entertainment,PG-13,0,41,69,"Mar 21, 2014",,"Apr 27, 2016","['action', 'scifi', 'adventure']","['Ansel Elgort', 'Maggie Q', 'Shailene Woodley', 'Alwin Küchler', 'Ashley Judd', 'Theo James', 'John J. Kelly', 'Zoë Kravitz', 'Pouya Shahbazian', 'Douglas Wick', 'Ray Stevenson', 'Rachel Shane', 'Evan Daugherty', 'Richard Francis-Bruce', 'Lucy Fisher', 'Miles Teller', 'Vanessa Taylor', 'Tony Goldwyn', 'Neil Burger', 'Jai Courtney']",['Neil Burger'],https://www.rottentomatoes.com/m/divergent,0
GIRL MODEL,2011,https://www.imdb.com/title/tt1806911/,"A documentary on the modeling industry's 'supply chain' between Siberia, Japan, and the U.S., told through the experiences of the scouts, agencies, and a 13-year-old model.",78,,,,,Not Rated,0,92,55,"Sep 5, 2012",,"Mar 8, 2017","['documentary', 'mysteryandthriller']","['Matthew Dougherty', 'Eric Taxier', 'Ashley Sabin', 'David Redmon', 'Ashley Arbaugh', 'Darius Marder', 'Rachel Blais', 'Nadya Vall', 'Tigran Khachatrian', 'Alan Canant', 'Olivia Arben']","['Ashley Sabin', 'David Redmon']",https://www.rottentomatoes.com/m/girl_model,0
INVASION PLANET EARTH,2019,https://www.imdb.com/title/tt3827540/,"After the death of his young daughter, Thomas Dunn is a man who has lost his faith. On the day he finds out his wife is pregnant again, aliens invade the Earth.",98,,,"$16,135",AlphaStar Productions,,0,0,30,,,"Feb 4, 2020","['scifi', 'mysteryandthriller']","['Lucy Drive', 'Gordon Hickie', 'David Hardwick', 'Simon Cox', 'Toyah Willcox', 'Phil Taylor', 'Sophie Anderson', 'Jon Campling', 'Simon Haycock', 'Michael Bott', 'Wayne Spencer', 'Jagjit Singh Banwait', 'Kate Davies-Speak', 'Julie Hoult', 'Benjamin Symons', 'Danny Steele']",['Simon Cox'],https://www.rottentomatoes.com/m/invasion_planet_earth,0
IRON MAN 3,2013,https://www.imdb.com/title/tt1300854/,"When Tony Stark's world is torn apart by a formidable terrorist called the Mandarin, he starts an odyssey of rebuilding and retribution.",130,"$200,000,000","$174,144,585,","$1,214,811,252",Marvel Studios,PG-13,0,79,78,"May 3, 2013",,"Nov 22, 2015","['action', 'scifi', 'fantasy', 'adventure']","['Rebecca Hall', 'Alan Fine', 'Victoria Alonso', 'Robert Downey Jr.', 'Drew Pearce', 'Guy Pearce', 'Stephanie Szostak', 'James Badge Dale', 'Shane Black', 'Ben Kingsley', 'Charles Newirth', 'Gwyneth Paltrow', 'Stephen Broussard', 'Don Cheadle', ""Louis D'Esposito"", 'Paul Bettany', 'Kevin Feige', 'Jon Favreau']",['Shane Black'],https://www.rottentomatoes.com/m/iron_man_3,0
KUNG FU PANDA 3,2016,https://www.imdb.com/title/tt2267968/,"Continuing his ""legendary adventures of awesomeness"", Po must face two hugely epic, but different threats: one supernatural and the other a little closer to home.",95,,,,,PG,1,87,78,"Jan 29, 2016",,"Jun 28, 2016","['animation', 'kidsandfamily', 'adventure', 'comedy']","['Bryan Cranston', 'J.K. Simmons', 'Seth Rogen', 'Alessandro Carloni', 'Jennifer Yuh Nelson', 'Lucy Liu', 'Guillermo del Toro', 'Angelina Jolie', 'Jack Black', 'Hans Zimmer', 'Raymond Zibach', 'Kate Hudson', 'Clare Knight', 'Glenn Berger', 'Melissa Cobb', 'Jackie Chan', 'David Cross', 'Dustin Hoffman', 'Jonathan Aibel', 'Mike Mitchell']","['Jennifer Yuh Nelson', 'Alessandro Carloni']",https://www.rottentomatoes.com/m/kung_fu_panda_3,1
MATTHIAS  MAXIME,2019,https://www.imdb.com/title/tt8767908/,A drama focusing on a group of friends in their late 20s.,119,,"$64,988,","$1,863,999",Sons of Manual,Not Rated,0,66,77,,,"Aug 28, 2020",['drama'],"[""Gabriel D'Almeida Freitas"", 'Michael Kronish', 'Nancy Grant', 'Kateryna Merkt', 'Phoebe Greenberg', 'Xavier Dolan', 'Harris Dickinson', 'Pier-Luc Funk', 'Marilyn Castonguay', 'Micheline Bernard', 'Jean-Michel Blais', 'Catherine Brunet', 'Michel Merkt', 'André Turpin', 'Adib Alkhalidey', 'Anne Dorval', 'Antoine Pilon']",['Xavier Dolan'],https://www.rottentomatoes.com/m/matthias_and_maxime,0
NAPPILY EVER AFTER,2018,https://www.imdb.com/title/tt0365545/,"Violet Jones tired of waiting for her longtime boyfriend to propose, breaks up with him. But old feelings, and heaps of jealousy, no doubt, arise when he promptly begins dating another woman.",98,,,,Netflix,TV-MA,0,67,72,,,"Sep 21, 2018","['comedy', 'drama', 'romance']","['Mark Moran', 'Tracey Bonner', 'Sanaa Lathan', 'Ernie Hudson', 'Haifaa Al-Mansour', 'Ricky Whittle', 'Tracey Bing', 'Vincent Cirrincione', 'Marc Platt', 'Camille Guaty', 'Jen Harper', 'Tina Gordon Chism', 'Gina Prince-Bythewood', 'Benedict Carver', 'Lyriq Bent', 'Jared LeBoff', 'Catherine Dyer', 'Lynn Whitfield', 'Racquel Bianca John', 'Lisa Loomer']",['Haifaa Al-Mansour'],https://www.rottentomatoes.com/m/nappily_ever_after,0
RAINBOW TIME,2016,https://www.imdb.com/title/tt5167174/,"A developmentally delayed 40 year old man named Shonzi is sent to live with his brother Todd. But when Shonzi develops a crush on Todd's girlfriend Lindsay, he threatens to reveal past secrets that could ultimately tear the couple apart.",91,,,,Duplass Brothers Productions,Not Rated,0,67,48,"Nov 4, 2016",,"Nov 1, 2016","['drama', 'comedy']","['Reagan Yates', 'Mel Eslyn', 'Timm Sharp', 'Jay Duplass', 'Artemis Pebdani', 'Ian Michaels', 'Tobin Bell', 'Linas Phillips', 'Melanie Lynskey', 'Lauren Weedman']",['Linas Phillips'],https://www.rottentomatoes.com/m/rainbow_time,0
SAFELIGHT,2015,https://www.imdb.com/title/tt2190467/,A teenage boy and girl discover a renewed sense of possibility as they go on a road trip to photograph lighthouses along the California coast.,84,,,,Aloupis Productions,R,0,0,35,"Jul 17, 2015",,"Apr 3, 2016",['drama'],"['Bernie Gewissler', 'Ariel Winter', 'Joe Krieg', 'Tony Aloupis', 'Jason Beghe', 'Andrew Mysko', 'Christine Lahti', 'Will Peltz', 'Evan Peters', 'Juno Temple', 'Don Stark', 'Kevin Alejandro']",['Tony Aloupis'],https://www.rottentomatoes.com/m/safelight,0
