title,plot_des,release_year,runtime,budget,box_office_gross,studio,mpaa_rating,theater_release_date,directors,casts,genre,award,is_holiday,success
BROKEN HORSES,"The bonds of brotherhood, the laws of loyalty, and the futility of violence in the shadows of the US Mexico border gang wars.",2015,101,16379268,33073,Reliance Entertainment,R,2015-04-10,['Vidhu Vinod Chopra'],"['Henry Shotwell', 'Thomas Jane', 'Nicholas Neve', 'Sean Patrick Flanery']","['Action', 'Crime', 'Drama', 'Mystery', 'Thriller']",0,False,False
SGT STUBBY AN AMERICAN HERO,"The true story of a stray dog who joins his new master on the battlefields of the First World War. For his valorous actions, Sgt. Stubby is still recognized as the most decorated dog in American history.",2018,84,25767003,5084029,Fun Academy Media Group,PG,2018-04-13,['Richard Lanni'],"['Logan Lerman', 'Helena Bonham Carter', 'Gérard Depardieu', 'Jordan Beck']","['Animation', 'Adventure', 'Family', 'History', 'War']",0,False,False
THE CARE BEARS MOVIE,"The Care Bears team up with a troubled brother and sister who just moved to a new town, to help a neglected young sorcerer's apprentice whose evil magic book causes sinister things to happen.",1985,77,4810613,55164799,Nelvana,G,1985-03-29,['Arna Selznick'],"['Georgia Engel', 'Mickey Rooney', 'Jackie Burroughs', 'Sunny Besen Thrasher']","['Animation', 'Adventure', 'Comedy', 'Family', 'Fantasy', 'Musical']",0,False,True
THE GATE,"Kids, left home alone, accidentally unleash a horde of malevolent demons from a mysterious hole in their suburban backyard.",1987,85,5695664,30846484,New Century Entertainment,PG-13,1987-05-15,['Tibor Takács'],"['Stephen Dorff', 'Christa Denton', 'Louis Tripp', 'Kelly Rowan']","['Fantasy', 'Horror']",0,False,True
WORKING GIRL,"When a secretary's idea is stolen by her boss, she seizes an opportunity to steal it back by pretending she has her boss' job.",1988,113,61257041,225235823,Twentieth Century Fox,R,1988-12-21,['Mike Nichols'],"['Melanie Griffith', 'Harrison Ford', 'Sigourney Weaver', 'Alec Baldwin']","['Comedy', 'Drama', 'Romance']",1,False,True
ARACHNOPHOBIA,A species of South American killer spider hitches a lift to the U.S. in a coffin and starts to breed and kill.,1990,109,43564208,105362373,Hollywood Pictures,PG-13,1990-07-18,['Frank Marshall'],"['Jeff Daniels', 'Julian Sands', 'John Goodman', 'Harley Jane Kozak']","['Comedy', 'Horror', 'Thriller']",0,False,True
JOHNNY SUEDE,A struggling young musician and devoted fan of Ricky Nelson wants to be just like his idol and become a rock star.,1991,97,950113,171193,Arena,R,1992-04-22,['Tom DiCillo'],"['Brad Pitt', 'Richard Boes', 'Cheryl Costa', 'Michael Luciano']","['Comedy', 'Drama', 'Music', 'Romance']",0,False,False
GROUNDHOG DAY,A weatherman finds himself inexplicably living the same day over and over again.,1993,101,26149761,127299278,Columbia Pictures,PG,1993-02-12,['Harold Ramis'],"['Bill Murray', 'Andie MacDowell', 'Chris Elliott', 'Stephen Tobolowsky']","['Comedy', 'Fantasy', 'Romance']",0,False,True
COPYCAT,An agoraphobic psychologist and a female detective must work together to take down a serial killer who copies serial killers from the past.,1995,123,33964698,54431684,New Regency Productions,R,1995-10-27,['Jon Amiel'],"['Sigourney Weaver', 'Holly Hunter', 'Dermot Mulroney', 'William McNamara']","['Drama', 'Mystery', 'Thriller']",0,False,True
LA HAINE,24 hours in the lives of three young men in the French suburbs the day after a violent riot.,1995,98,4398428,513896,Le Studio Canal,Unrated,1996-02-23,['Mathieu Kassovitz'],"['Vincent Cassel', 'Hubert Koundé', 'Saïd Taghmaoui', 'Abdel Ahmed Ghili']","['Crime', 'Drama']",0,False,False
VANITY FAIR,"Growing up poor in London, Becky Sharp defies her poverty-stricken background and ascends the social ladder alongside her best friend, Amelia Sedley.",2004,141,31512191,26666418,Focus Features,PG-13,2004-09-01,['Mira Nair'],"['Reese Witherspoon', 'Romola Garai', 'James Purefoy', 'Jonathan Rhys Meyers']",['Drama'],0,False,False
THE PIANIST,A Polish Jewish musician struggles to survive the destruction of the Warsaw ghetto of World War II.,2002,150,50352334,172740987,RP Productions,R,2003-03-28,['Roman Polanski'],"['Adrien Brody', 'Thomas Kretschmann', 'Frank Finlay', 'Emilia Fox']","['Biography', 'Drama', 'Music', 'War']",0,False,True
SOLARIS,A troubled psychologist is sent to investigate the crew of an isolated research station orbiting a bizarre planet.,2002,99,67615992,43163111,Twentieth Century Fox,PG-13,2002-11-27,['Steven Soderbergh'],"['George Clooney', 'Natascha McElhone', 'Ulrich Tukur', 'Viola Davis']","['Drama', 'Mystery', 'Romance', 'Sci-Fi']",1,False,False
FIVE MOONS PLAZA,"One of the main players in Italian politics, Aldo Moro, gets kidnapped and murdered by terrorists. One judge finds evidence that put new dangerous light on the case.",2003,90,22505304,682189,Martinelli Film Company International,,2003-05-09,['Renzo Martinelli'],"['Donald Sutherland', 'Giancarlo Giannini', 'Stefania Rocca', 'Aisha Cerami']","['Drama', 'Thriller']",0,False,False
TAKE OUT,An illegal Chinese immigrant falls behind on payments on an enormous smuggling debt. Ming Ding has only until the end of the day to come up with the money.,2004,87,4110,95654,Cre Film,Unrated,2004-01-18,"['Sean Baker', 'Shih-Ching Tsou']","['Charles Jang', 'Jeng-Hua Yu', 'Wang-Thye Lee', 'Justin Wan']",['Drama'],0,False,True
THE SISTERHOOD OF THE TRAVELING PANTS,Four best girlfriends hatch a plan to stay connected with one another as their lives start off in different directions: they pass around a pair of secondhand jeans that fits each of their bodies perfectly.,2005,119,33129928,55676670,Alcon Entertainment,PG,2005-06-01,['Ken Kwapis'],"['Amber Tamblyn', 'Alexis Bledel', 'America Ferrera', 'Blake Lively']","['Comedy', 'Drama', 'Romance']",0,False,True
FLICKA,Young Katy claims a wild horse as her own -- an effort to prove to her father that she is capable of taking over the family horse ranch one day.,2006,95,19256770,28106657,Fox 2000 Pictures,PG,2006-10-20,['Michael Mayer'],"['Alison Lohman', 'Tim McGraw', 'Maria Bello', 'Ryan Kwanten']","['Adventure', 'Drama', 'Family']",0,False,True
ISOLATION,"On a remote Irish farm, five people become unwilling participants in an experiment that goes nightmarishly wrong.",2005,95,3843071,368479,Film Four,R,2006-09-29,"[""Billy O'Brien""]","['Essie Davis', 'Sean Harris', 'Marcel Iures', 'Crispin Letts']","['Horror', 'Sci-Fi', 'Thriller']",0,False,False
THE NIGHT LISTENER,"In the midst of his crumbling relationship, a radio show host begins speaking to his biggest fan, a young boy, via the telephone. But when questions about the boy's identity come up, the host's life is thrown into chaos.",2006,91,5135138,13659066,Hart Sharp Entertainment,R,2006-08-04,['Patrick Stettner'],"['Robin Williams', 'Toni Collette', 'Rory Culkin', 'Joe Morton']","['Crime', 'Drama', 'Horror', 'Mystery', 'Thriller']",0,False,True
RESCUE DAWN,A U.S. fighter pilot's epic struggle of survival after being shot down on a mission over Laos during the Vietnam War.,2006,120,12837847,9213906,MetroGoldwynMayer MGM,PG-13,2007-07-27,['Werner Herzog'],"['Christian Bale', 'Steve Zahn', 'Jeremy Davies', 'Zach Grenier']","['Action', 'Biography', 'Drama', 'Thriller', 'War']",0,False,False
RIPD,A recently slain cop joins a team of undead police officers working for the Rest in Peace Department and tries to find the man who murdered him.,2013,96,144427641,87016787,Universal Pictures,PG-13,2013-07-19,['Robert Schwentke'],"['Ryan Reynolds', 'Jeff Bridges', 'Mary-Louise Parker', 'Kevin Bacon']","['Action', 'Adventure', 'Comedy', 'Crime', 'Fantasy', 'Sci-Fi']",1,False,False
1208 EAST OF BUCHAREST,A local talk show host organizes an alcoholic professor and a pensioner known for playing Santa Claus to decide whether there was ever a revolution in their town Vaslui.,2006,89,256756,672321,42 Km Film,Unrated,2006-09-29,['Corneliu Porumboiu'],"['Mircea Andreescu', 'Teodor Corban', 'Ion Sapdaru', 'Mirela Cioaba']","['Comedy', 'Drama']",0,False,True
A FOUR LETTER WORD,"Hook up artist Luke surprises himself when he considers becoming monogamous after meeting and dating smug and handsome Stephen, but Stephen might not be all that he seems, will Luke be disappointed?",2007,87,156029,91676,Embrem Entertainment,Unrated,2008-03-28,['Casper Andreas'],"['Jesse Archer', 'Paul Haje', 'Charlie David', 'Cory Grant']","['Comedy', 'Romance']",0,False,False
HAPPINESS,A love story about two people who meet while battling serious illnesses.,2007,124,4368813,10391160,Rai Film,,2007-10-03,['Jin-ho Hur'],"['Jung-min Hwang', 'Kong Hyo-Jin', 'In-Sook Kim', 'Jin-gu Kim']","['Drama', 'Romance']",0,False,True
MARS NEEDS MOMS,A young boy named Milo gains a deeper appreciation for his mom after Martians come to Earth to take her away.,2011,88,172587457,45141604,Walt Disney Pictures,PG,2011-03-11,['Simon Wells'],"['Seth Green', 'Joan Cusack', 'Dan Fogler', 'Elisabeth Harnois']","['Animation', 'Action', 'Adventure', 'Family', 'Sci-Fi']",0,False,False
MACGRUBER,"Former special operative MacGruber is called back into action to take down his arch-enemy, Dieter Von Cunth, who's in possession of a nuclear warhead and bent on destroying Washington, D.C.",2010,90,11869015,11065358,Broadway Video,R,2010-05-21,['Jorma Taccone'],"['Will Forte', 'Kristen Wiig', 'Val Kilmer', 'Ryan Phillippe']","['Action', 'Comedy']",0,False,False
TEZZ,"To revenge his past, Aakash Rana plants bomb in a train endangering lives of 500 passengers.",2012,121,450902027,4852851,United 7 Entertainment,Unrated,2012-04-26,['Priyadarshan'],"['Anil Kapoor', 'Ajay Devgn', 'Mohanlal', 'Kangana Ranaut']","['Action', 'Crime', 'Drama', 'Thriller']",0,False,False
FROM UP ON POPPY HILL,A group of Yokohama teens look to save their school's clubhouse from the wrecking ball in preparations for the 1964 Tokyo Olympics.,2011,91,25312827,70746873,Studio Ghibli,PG,2011-07-16,['Gorô Miyazaki'],"['Sarah Bolger', 'Chris Noth', 'Anton Yelchin', 'Christina Hendricks']","['Animation', 'Drama', 'Family', 'Romance']",0,False,True
JAYANTABHAI KI LUV STORY,"Jayantabhai is a street-thug and small time gangster, who unexpectedly falls in love with his enemy, who is Simrin. A romantic caper about how people unknowingly fall in love with people they least expect to.",2013,130,111098185,2919,Tips Industries,,2013-02-15,['Vinnil Markan'],"['Vivek Oberoi', 'Neha Sharma', 'Rahul Singh', 'Nikhil Ratnaparkhi']","['Action', 'Comedy', 'Romance']",0,False,False
MONTANHA,A visually intense and poetic coming-of-age film portrays the fourteen-years-old David who is forced to become the man of the house while his grandfather lives his last days in hospital.,2015,88,545975,28991,Filmes do Tejo II,,2015-11-19,['João Salaviza'],"['David Mourato', 'Maria João Pinho', 'Rodrigo Perdigão', 'Cheyenne Domingues']",['Drama'],0,False,False
WHITE GOD,"Thirteen-year-old Lili fights to protect her dog Hagen. She is devastated when her father eventually sets Hagen free on the streets. Still innocently believing love can conquer any difficulty, Lili sets out to find her dog and save him.",2014,121,765273131,636164,Proton Cinema,R,2014-06-12,['Kornél Mundruczó'],"['Zsófia Psotta', 'Sándor Zsótér', 'Lili Horvát', 'Szabolcs Thuróczy']","['Drama', 'Horror', 'Mystery', 'Thriller']",0,False,False
THEY HAVE ESCAPED,Two teenage outcasts run away from a halfway house and embark on a rambling cross-country journey.,2014,102,1361092,10257,HelsinkiFilmi,,2014-10-17,['J.-P. Valkeapää'],"['Roosa Söderholm', 'Teppo Manner', 'Petteri Pennilä', 'Jari Pehkonen']","['Drama', 'Mystery']",0,False,False
SET FIRE TO THE STARS,"An aspiring poet in 1950s New York has his ordered world shaken when he embarks on a week-long retreat to save his hell raising hero, Dylan Thomas.",2014,97,765273,4679,Mad As Birds,Unrated,2015-06-12,['Andy Goddard'],"['Elijah Wood', 'Celyn Jones', 'Kelly Reilly', 'Steven Mackintosh']","['Biography', 'Drama']",0,False,False
BEYOND THE SKY,"While shooting a documentary to expose the lies of alien abductees, a provocative filmmaker and his crew encounter a young woman with a dark secret who leads them to uncover a disturbing truth.",2018,82,1546020,20367,Elysian Fields Entertainment,Unrated,2018-09-21,['Fulvio Sestito'],"['Ryan Carnes', 'Jordan Danger', 'Claude Duhamel', 'Martin Sensmeier']","['Mystery', 'Sci-Fi', 'Thriller']",0,False,False
THE WARNING,Ten-year-old Nico receives a threatening letter and now his life is in danger. No one seems to believe him except one person that he doesn't know who has come to believe that fate itself wants the boy dead and tries to prevent it.,2018,92,4122720,751086,Film Factory,TV-MA,2018-03-23,['Daniel Calparsoro'],"['Raúl Arévalo', 'Aura Garrido', 'Hugo Arbues', 'Belén Cuesta']","['Action', 'Adventure', 'Crime', 'Drama', 'Fantasy', 'Mystery', 'Thriller']",0,False,False
UNDERWORLD BLOOD WARS,Vampire death dealer Selene (Kate Beckinsale) fights to end the eternal war between the Lycan clan and the Vampire faction that betrayed her.,2016,91,37742170,87446788,Screen Gems,R,2017-01-06,['Anna Foerster'],"['Kate Beckinsale', 'Theo James', 'Tobias Menzies', 'Lara Pulver']","['Action', 'Adventure', 'Fantasy', 'Horror', 'Sci-Fi']",0,False,True
OUIJA ORIGIN OF EVIL,"In 1967 Los Angeles, a widowed mother and her daughters add a new stunt to bolster their seance scam business by inviting an evil presence into their home, not realizing how dangerous it is.",2016,99,9705129,88107204,Universal Pictures,PG-13,2016-10-21,['Mike Flanagan'],"['Elizabeth Reaser', 'Lulu Wilson', 'Annalise Basso', 'Henry Thomas']","['Drama', 'Horror', 'Mystery', 'Thriller']",0,False,True
IF BEALE STREET COULD TALK,A young woman embraces her pregnancy while she and her family set out to prove her childhood friend and lover innocent of a crime he didn't commit.,2018,119,12368161,21228472,Annapurna Pictures,R,2018-12-25,['Barry Jenkins'],"['KiKi Layne', 'Stephan James', 'Regina King', 'Teyonah Parris']","['Drama', 'Romance']",0,True,True
FIDAA,"Varun and Bhanu, both from different worlds, face challenges in their relationship.",2017,144,158378141,71067,Sri Venkateswara Creations,,2017-07-21,['Sekhar Kammula'],"['Sai Pallavi', 'Varun Tej', 'Sarah Uriarte Berry', 'Harshvardhan Rane']","['Comedy', 'Drama', 'Romance']",0,False,False
WHOSE LIFE IS IT ANYWAY,Richard Dreyfuss stars in this black comedy as a sculptor who becomesparalyzed after an auto accident and fights the hospital administrationfor the right to die.,1981,119,37013674,23364582,MetroGoldwynMayer MGM,R,1982-01-22,['John Badham'],"['Richard Dreyfuss', 'John Cassavetes', 'Christine Lahti', 'Bob Balaban']","['Comedy', 'Drama']",1,False,False
STRANGE BREW,"Canada's most famous hosers, Bob and Doug McKenzie, get jobs at the Elsinore Brewery, only to learn that something is rotten with the state of it.",1983,90,10394016,22272749,MetroGoldwynMayer MGM,PG,1983-08-26,"['Rick Moranis', 'Dave Thomas']","['Rick Moranis', 'Dave Thomas', 'Max von Sydow', 'Paul Dooley']","['Comedy', 'Crime', 'Sci-Fi']",0,False,True
TO BE OR NOT TO BE,"At the onset of WW2, a Polish actor's family and the Polish Resistance help the troupe of a theatre escape Poland and the invading Nazis.",1983,107,23386536,33859063,Brooksfilms,PG,1983-12-16,['Alan Johnson'],"['Mel Brooks', 'Anne Bancroft', 'Ronny Graham', 'Estelle Reiner']","['Comedy', 'Drama', 'War']",0,False,True
INVASION USA,A one-man army comes to the rescue of the United States when a spy attempts an invasion.,1985,107,24053066,42180073,Cannon Films,R,1985-09-27,['Joseph Zito'],"['Chuck Norris', 'Richard Lynch', 'Melissa Prophet', 'Alexander Zale']","['Action', 'Thriller']",0,False,True
TRANSYLVANIA 65000,"Two tabloid reporters are sent to Transylvania to find the Frankenstein monster - or get fired. They are laughed at there, but something suspicious is going on.",1985,93,7215920,17310684,Balcor Film Investors,PG,1985-11-08,['Rudy De Luca'],"['Jeff Goldblum', 'Joseph Bologna', 'Ed Begley Jr.', 'Carol Kane']","['Comedy', 'Fantasy', 'Horror']",0,False,True
RUDE AWAKENING,"In the 1960s, two hippies go off into the jungle to evade the FBI. When they come back to New York in the 1980s, their fellow hippie friends have become rich yuppies.",1989,100,20871854,6615791,Aaron Russo Entertainment,R,1989-08-16,"['David Greenwalt', 'Aaron Russo']","['Cheech Marin', 'Eric Roberts', 'Julie Hagerty', 'Robert Carradine']",['Comedy'],0,False,False
SUPER MARIO BROS,"Two Brooklyn plumbers, Mario and Luigi, must travel to another dimension to rescue a princess from the evil dictator King Koopa and stop him from taking over the world.",1993,104,85971820,37461262,Allied Filmmakers,PG,1993-05-28,"['Annabel Jankel', 'Rocky Morton']","['Bob Hoskins', 'John Leguizamo', 'Dennis Hopper', 'Samantha Mathis']","['Adventure', 'Comedy', 'Family', 'Fantasy', 'Sci-Fi']",0,False,False
WEEKEND AT BERNIES II,Larry and Richard use a voodoo-revived corpse to track down hidden money to clear their names.,1993,97,12537557,22821740,Artimm,PG,1993-07-09,['Robert Klane'],"['Andrew McCarthy', 'Jonathan Silverman', 'Terry Kiser', 'Troy Byer']","['Adventure', 'Comedy', 'Fantasy']",0,False,True
FATHER OF THE BRIDE PART II,"George Banks must deal not only with the pregnancy of his daughter, but also with the unexpected pregnancy of his wife.",1995,106,50947047,130074786,Sandollar Productions,PG,1995-12-08,['Charles Shyer'],"['Steve Martin', 'Diane Keaton', 'Martin Short', 'Kimberly Williams-Paisley']","['Comedy', 'Family', 'Romance']",0,False,True
IF LUCY FELL,"Two NYC roomies have a pact to jump off Brooklyn Bridge, if they haven't found life partners before she's 30. That's less than a month away.",1996,92,8247641,3992125,Motion Picture Corporation of America MPCA,R,1996-03-08,['Eric Schaeffer'],"['Sarah Jessica Parker', 'Eric Schaeffer', 'Ben Stiller', 'Elle Macpherson']","['Comedy', 'Romance']",0,False,False
THE BEAUTICIAN AND THE BEAST,"A New York City cosmetologist, mistakenly thought to be a science teacher, is offered a job to teach the children of an Eastern European dictator.",1997,105,25800473,18522933,High School Sweethearts,PG,1997-02-07,['Ken Kwapis'],"['Fran Drescher', 'Timothy Dalton', 'Ian McNeice', 'Patrick Malahide']","['Comedy', 'Romance']",0,False,False
MAJOR LEAGUE BACK TO THE MINORS,"Major League: Back to the Minors. On this team they don't just throw screwballs, they put them in uniform!",1998,100,28580355,5672316,Morgan Creek Entertainment,PG-13,1998-04-17,['John Warren'],"['Scott Bakula', 'Corbin Bernsen', 'Dennis Haysbert', 'Takaaki Ishibashi']","['Comedy', 'Sport']",0,False,False
SINBAD LEGEND OF THE SEVEN SEAS,"The sailor of legend is framed by the goddess Eris for the theft of the Book of Peace, and must travel to her realm at the end of the world to retrieve it and save the life of his childhood friend Prince Proteus.",2003,86,84394891,113613917,Dreamworks Pictures,PG,2003-07-02,"['Patrick Gilmore', 'Tim Johnson']","['Brad Pitt', 'Catherine Zeta-Jones', 'Joseph Fiennes', 'Michelle Pfeiffer']","['Animation', 'Adventure', 'Family', 'Fantasy']",0,False,True
GONE IN 60 SECONDS,A retired master car thief must come back to the industry and steal fifty cars with his crew in one night to save his brother's life.,2000,118,135267073,356507341,Touchstone Pictures,PG-13,2000-06-09,['Dominic Sena'],"['Nicolas Cage', 'Angelina Jolie', 'Giovanni Ribisi', 'T.J. Cross']","['Action', 'Crime', 'Thriller']",1,False,True
IN YOUR NAME,"Problems arise when Radhey Mohan, a delinquent falls in love with a girl named Nirjara.",2003,132,112526521,3745968,MD Productions,Unrated,2003-08-15,['Satish Kaushik'],"['Salman Khan', 'Bhoomika Chawla', 'Sachin Khedekar', 'Savita Prabhune']","['Action', 'Drama', 'Romance']",0,False,False
DONT COME KNOCKING,"An aging cowboy movie star deserts a film set and tries to reconnect with his mother, whom he hasn't seen in thirty years, only to learn that he has a child he never knew about.",2005,122,14577168,6180058,Reverse Angle International,R,2005-08-25,['Wim Wenders'],"['Sam Shepard', 'Jessica Lange', 'Tim Roth', 'James Roday Rodriguez']","['Drama', 'Music']",0,False,False
CATCH AND RELEASE,A woman struggles to accept the death of her fiancé and the secrets he kept from her as she rebuilds her life.,2006,124,32094618,20749273,Columbia Pictures,PG-13,2007-01-26,['Susannah Grant'],"['Jennifer Garner', 'Timothy Olyphant', 'Kevin Smith', 'Sam Jaeger']","['Comedy', 'Drama', 'Romance']",0,False,False
ALPHA MALE,"Alpha Male is the story of family life. It is a film about the force of personality, family politics, repressed emotions, great love and devastating loss.",2006,100,3851354,43262,Mobius International,R,2006-08-11,['Dan Wilde'],"['Jennifer Ehle', 'Patrick Baladi', 'Amelia Warner', 'Arthur Duncan']",['Drama'],0,False,False
SACRED HEART,"Irene, a workaholic, is forced to re-evaluate her priorities after the suicide of her two best friends.",2005,120,7951182,5290587,RC Produzioni,,2005-02-25,['Ferzan Ozpetek'],"['Barbora Bobulova', 'Andrea Di Stefano', 'Lisa Gastoni', 'Massimo Poggio']",['Drama'],0,False,False
THE MAIDENS CONSPIRACY,"Tirante the knight is as committed to fighting the Turks in Constantinople as he is to relieving Carmesina, the heiress to the Byzantine Empire, of her virginity.",2006,122,17972986,3523892,Carolina Films,,2006-04-07,['Vicente Aranda'],"['Caspar Zafer', 'Esther Nubiola', 'Leonor Watling', 'Ingrid Rubio']","['Adventure', 'Romance']",0,False,False
AUSTRALIA,"Set in northern Australia before World War II, an English aristocrat who inherits a sprawling ranch reluctantly pacts with a stock-man in order to protect her new property from a takeover plot. As the pair drive 2,000 head of cattle over unforgiving landscape, they experience the bombing of Darwin, Australia, by Japanese forces firsthand.",2008,165,156270140,254585108,Twentieth Century Fox,PG-13,2008-11-26,['Baz Luhrmann'],"['Nicole Kidman', 'Hugh Jackman', 'Shea Adams', 'Eddie Baroo']","['Adventure', 'Comedy', 'Drama', 'Romance', 'War', 'Western']",0,False,True
OSS 117 CAIRO NEST OF SPIES,"Secret agent OSS 117 foils Nazis, beds local beauties, and brings peace to the Middle East.",2006,99,17972986,29580481,Gaumont,Unrated,2008-05-09,['Michel Hazanavicius'],"['Jean Dujardin', 'François Damiens', 'Khalid Maadour', 'Youssef Hamid']","['Action', 'Adventure', 'Comedy', 'Crime']",0,False,True
WORLD TRADE CENTER,Two Port Authority police officers become trapped under the rubble of the World Trade Center.,2006,129,83446006,209574258,Paramount Pictures,PG-13,2006-08-09,['Oliver Stone'],"['Nicolas Cage', 'Michael Peña', 'Maria Bello', 'Maggie Gyllenhaal']","['Drama', 'History', 'Thriller']",2,False,True
THE COVENANT,"Four young men who belong to a New England supernatural legacy are forced to battle a fifth power long thought to have died out. Meanwhile, jealousy and suspicion threaten to tear them apart.",2006,97,25675694,48268722,Screen Gems,PG-13,2006-09-08,['Renny Harlin'],"['Steven Strait', 'Sebastian Stan', 'Toby Hemingway', 'Taylor Kitsch']","['Action', 'Adventure', 'Fantasy', 'Horror', 'Mystery', 'Thriller']",0,False,True
THE BAKER,A hitman has second thoughts about his career and seeks refuge from his boss by finding work as a baker in a rural Welsh village.,2007,86,3120580,9251,Picture Farm,PG-13,2008-05-26,['Gareth Lewis'],"['Damian Lewis', 'Kate Ashfield', 'Nikolaj Coster-Waldau', 'Dyfan Dwyfor']","['Comedy', 'Thriller']",0,True,False
TOOTH FAIRY,A bad deed on the part of a tough minor-league hockey player results in an unusual sentence: He must serve one week as a real-life tooth fairy.,2010,101,56971273,133481922,Twentieth Century Fox,PG,2010-01-22,['Michael Lembeck'],"['Dwayne Johnson', 'Ashley Judd', 'Julie Andrews', 'Stephen Merchant']","['Comedy', 'Family', 'Fantasy', 'Sport']",0,False,True
THE LITTLE TRAITOR,A coming of age tale of the unlikely bond between a kindly British soldier and a spirited Jewish boy set against the backdrop of the birth of the State of Israel.,2007,88,2121995,567297,Evanstone Films Ltd,TV-PG,2009-04-02,['Lynn Roth'],"['Ido Port', 'Alfred Molina', 'Gilya Stern', 'Rami Heuberger']",['Drama'],0,False,False
THE SANDMAN,Two love birds fly out of the cuckoo's nest in a stirring Spanish romance of mad love and doomed passion.,2007,100,3245404,590335,Iroko Films SL,,2007-11-09,['José Manuel González'],"['Hugo Silva', 'María Valverde', 'Irene Visedo', 'Alberto Jiménez']",['Drama'],0,False,False
A DISTANT NEIGHBOURHOOD,A grown man wakes up to discover he is a teenager again.,2010,98,21364227,275147,Entre Chien et Loup,,2010-05-20,['Sam Garbarski'],"['Pascal Greggory', 'Jonathan Zaccaï', 'Alexandra Maria Lara', 'Léo Legrand']","['Drama', 'Fantasy']",0,False,False
COMEDOWN,"Six friends who turn the deserted the tower block they lived in as kids into a pirate radio station soon learn they are not alone, as a resident psychopath begins hunting them down.",2012,90,2254510,44666,Serotonin Films,Unrated,2013-04-25,['Menhaj Huda'],"['Jacob Anderson', 'Sophie Stuckey', 'Jessica Barden', 'Shizzio']",['Horror'],0,False,False
THE TALL MAN,"When her child goes missing, a mother looks to unravel the legend of the Tall Man, an entity who allegedly abducts children.",2012,106,16908826,8412532,Minds Eye Entertainment,R,2012-09-05,['Pascal Laugier'],"['Jessica Biel', 'Jodelle Ferland', 'William B. Davis', 'Stephen McHattie']","['Crime', 'Drama', 'Horror', 'Mystery', 'Thriller']",0,False,False
OUTSIDE BET,A group of friends buy a racehorse to safeguard them in the event that they lose their jobs amidst the turbulence in 1980s Britain.,2012,101,8454413,23981,Gateway Films,Unrated,2012-04-27,['Sacha Bennett'],"['Jenny Agutter', 'Bob Hoskins', 'Vincent Regan', 'Phil Davis']",['Comedy'],0,False,False
UGLYDOLLS,"An animated adventure in which the free-spirited UglyDolls confront what it means to be different, struggle with a desire to be loved, and ultimately discover who you truly are is what matters most.",2019,87,45555157,32850574,STX Entertainment,PG,2019-05-03,['Kelly Asbury'],"['Kelly Clarkson', 'Nick Jonas', 'Janelle Monáe', 'Blake Shelton']","['Animation', 'Adventure', 'Comedy', 'Family', 'Fantasy', 'Musical']",0,False,False
EYE IN THE SKY,"Col. Katherine Powell, a military officer in command of an operation to capture terrorists in Kenya, sees her mission escalate when a girl enters the kill zone triggering an international dispute over the implications of modern warfare.",2015,102,14195365,38501820,Raindog Films,R,2016-04-01,['Gavin Hood'],"['Helen Mirren', 'Aaron Paul', 'Alan Rickman', 'Barkhad Abdi']","['Action', 'Drama', 'Thriller', 'War']",0,False,True
THE HUNT,"A teacher lives a lonely life, all the while struggling over his son's custody. His life slowly gets better as he finds love and receives good news from his son, but his new luck is about to be brutally shattered by an innocent little lie.",2012,115,4283569,17859410,Danmarks Radio DR,R,2013-01-10,['Thomas Vinterberg'],"['Mads Mikkelsen', 'Thomas Bo Larsen', 'Annika Wedderkopp', 'Lasse Fogelstrøm']",['Drama'],0,False,True
SAGUNI,"In order to save his ancestral property, Kamal decides to seek help from a politician. When he learns about the corrupt system run by equally corrupt bureaucrats, he takes charge of the matter.",2012,148,281813766,137914,Dream Warrior Pictures,Unrated,2012-06-22,['N. Shankar Dayal'],"['Karthi', 'Pranitha', 'Santhanam', 'Prakash Raj']","['Action', 'Comedy', 'Drama']",0,False,False
SPIDERMAN HOMECOMING,"Peter Parker balances his life as an ordinary high school student in Queens with his superhero alter-ego Spider-Man, and finds himself on the trail of a new menace prowling the skies of New York City.",2017,133,184774498,929328009,Columbia Pictures,PG-13,2017-07-07,['Jon Watts'],"['Tom Holland', 'Michael Keaton', 'Robert Downey Jr.', 'Marisa Tomei']","['Action', 'Adventure', 'Sci-Fi']",0,False,True
THE NIGHT BEFORE,"On Christmas Eve, three lifelong friends spend the night in New York City looking for the Holy Grail of Christmas parties.",2015,101,27298780,57213871,Columbia Pictures,R,2015-11-20,['Jonathan Levine'],"['Joseph Gordon-Levitt', 'Seth Rogen', 'Jillian Bell', 'Lizzy Caplan']","['Comedy', 'Fantasy']",0,False,True
MARAUDERS,"When a bank is hit by a brutal heist, all evidence points to the owner and his high-powered clients. But as a group of FBI agents dig deeper into the case - and the deadly heists continue - it becomes clear that a larger conspiracy is at play.",2016,107,16175215,1742614,EmmettFurlaOasis Films EFO Films,R,2016-07-01,['Steven C. Miller'],"['Bruce Willis', 'Christopher Meloni', 'Dave Bautista', 'Adrian Grenier']","['Action', 'Crime', 'Thriller']",0,False,False
